datetime,open,high,low,close,volume
2020-09-17 00:00:00,3.86,4.31,3.15,4.2101,1911653.36502
2020-09-18 00:00:00,4.26,8.6698,3.2935,6.9695,33210051.1528
2020-09-19 00:00:00,6.9695,7.4855,5.237,5.7302,12407869.607789
2020-09-20 00:00:00,5.715,6.0924,4.65,5.2077,8240101.786039
2020-09-21 00:00:00,5.209,5.6367,4.0111,4.2796,6393942.959587
2020-09-22 00:00:00,4.2778,4.5493,3.701,3.9126,6010281.710163
2020-09-23 00:00:00,3.9198,5.3933,3.9057,4.3683,12990410.991826
2020-09-24 00:00:00,4.374,5.2999,4.2647,5.1584,7881815.534944
2020-09-25 00:00:00,5.1584,5.5609,4.775,4.9219,6190773.397497
2020-09-26 00:00:00,4.9211,4.9899,4.5879,4.8653,3253496.189961
2020-09-27 00:00:00,4.8702,5.2111,4.7007,4.8506,2513935.287224
2020-09-28 00:00:00,4.8559,4.9462,4.1598,4.25,3882012.177204
2020-09-29 00:00:00,4.25,4.4524,4.122,4.3864,3351827.598891
2020-09-30 00:00:00,4.3864,4.3889,3.95,4.1567,2293174.170869
2020-10-01 00:00:00,4.1567,4.5176,3.9,4.2423,4540929.369988
2020-10-02 00:00:00,4.2378,4.2378,3.5777,3.8934,4375957.460596
2020-10-03 00:00:00,3.8922,4.1312,3.8312,3.9074,1774712.546717
2020-10-04 00:00:00,3.9074,3.9429,3.607,3.722,2960131.387707
2020-10-05 00:00:00,3.7271,3.7961,3.187,3.323,4588437.687001
2020-10-06 00:00:00,3.3175,3.353,2.628,2.7162,7685961.306441
2020-10-07 00:00:00,2.7148,3.0095,2.4794,2.962,8272119.293346
2020-10-08 00:00:00,2.9664,3.4676,2.6435,3.3558,7385517.002727
2020-10-09 00:00:00,3.3525,3.5998,3.175,3.3825,4343600.919879
2020-10-10 00:00:00,3.3825,3.6575,3.2729,3.296,2817946.690503
2020-10-11 00:00:00,3.2958,3.4512,3.1834,3.3633,1882781.950072
2020-10-12 00:00:00,3.3633,3.6167,3.286,3.4651,1772263.609751
2020-10-13 00:00:00,3.4642,3.499,3.2939,3.3612,944285.007201
2020-10-14 00:00:00,3.3603,3.437,2.9725,3.1114,2146854.313754
2020-10-15 00:00:00,3.1114,3.1841,2.9209,3.084,2349867.498495
2020-10-16 00:00:00,3.0837,3.3816,2.88,3.048,4030800.690074
2020-10-17 00:00:00,3.0485,3.1275,2.9804,3.0591,1178289.213335
2020-10-18 00:00:00,3.0572,3.29,3.0454,3.2884,1381248.988491
2020-10-19 00:00:00,3.2851,3.2899,3.11,3.1737,1077637.46384
2020-10-20 00:00:00,3.1717,3.1922,2.82,2.8608,2345332.199502
2020-10-21 00:00:00,2.8645,3.0931,2.8423,2.9435,2392147.514439
2020-10-22 00:00:00,2.9443,3.1538,2.9251,3.0438,1728198.175054
2020-10-23 00:00:00,3.0457,3.1256,2.9687,3.0179,1182871.146055
2020-10-24 00:00:00,3.0171,3.0872,2.93,2.9446,1303270.958384
2020-10-25 00:00:00,2.9417,2.97,2.7158,2.7793,1693471.157056
2020-10-26 00:00:00,2.7782,2.8766,2.5302,2.7159,2940886.572734
2020-10-27 00:00:00,2.718,2.9135,2.7055,2.8111,1892072.435801
2020-10-28 00:00:00,2.8054,2.8605,2.597,2.6714,1482003.808559
2020-10-29 00:00:00,2.6645,2.7405,2.4925,2.5426,1256678.267817
2020-10-30 00:00:00,2.5386,2.5652,2.2391,2.4163,3615176.243211
2020-10-31 00:00:00,2.4145,2.4157,2.2438,2.2692,1684984.012086
