datetime,open,high,low,close,volume
2022-05-04 00:00:00,6.86,7.97,6.82,7.94,661177.858186
2022-05-05 00:00:00,7.94,8.1,6.97,7.34,612917.89129
2022-05-06 00:00:00,7.35,7.69,6.87,7.58,611206.555675
2022-05-07 00:00:00,7.58,7.65,6.98,7.17,589639.104913
2022-05-08 00:00:00,7.17,7.33,6.85,7.1,372814.460941
2022-05-09 00:00:00,7.1,7.22,5.9,5.95,957927.861088
2022-05-10 00:00:00,5.94,6.66,5.76,6.07,1211743.763667
2022-05-11 00:00:00,6.07,6.22,4.63,4.89,1835716.782292
2022-05-12 00:00:00,4.89,5.18,3.57,4.65,1365544.617288
2022-05-13 00:00:00,4.65,5.46,4.59,5.13,564417.775299
2022-05-14 00:00:00,5.13,5.37,4.71,5.17,459360.374187
2022-05-15 00:00:00,5.18,5.47,4.98,5.45,221403.41167
2022-05-16 00:00:00,5.44,5.44,4.89,5.06,267552.335535
2022-05-17 00:00:00,5.06,5.51,5.03,5.46,447161.288981
2022-05-18 00:00:00,5.46,5.55,4.85,4.89,429233.816794
2022-05-19 00:00:00,4.9,5.22,4.72,5.18,322013.172525
2022-05-20 00:00:00,5.18,5.52,4.92,5.09,513916.601052
2022-05-21 00:00:00,5.08,5.37,4.98,5.22,255636.984027
2022-05-22 00:00:00,5.23,5.55,5.12,5.49,332366.243514
2022-05-23 00:00:00,5.49,5.97,5.36,5.62,455429.066496
2022-05-24 00:00:00,5.62,5.82,5.27,5.59,702432.413598
2022-05-25 00:00:00,5.59,5.79,5.36,5.62,466740.592643
2022-05-26 00:00:00,5.62,5.77,4.77,4.94,656172.266126
2022-05-27 00:00:00,4.94,5.08,4.58,4.7,669262.333728
2022-05-28 00:00:00,4.7,5.02,4.61,4.98,254140.831567
2022-05-29 00:00:00,4.99,5.03,4.77,4.94,346527.111692
2022-05-30 00:00:00,4.94,5.69,4.88,5.66,598081.039964
2022-05-31 00:00:00,5.66,5.87,5.55,5.69,418022.072532
2022-06-01 00:00:00,5.68,5.81,5.1,5.13,415792.033727
2022-06-02 00:00:00,5.13,5.34,5.04,5.298,502642.481138
2022-06-03 00:00:00,5.298,5.337,4.96,5.067,520868.489168
2022-06-04 00:00:00,5.066,5.167,4.933,5.133,773182.265443
2022-06-05 00:00:00,5.136,5.223,4.915,5.084,720996.290882
2022-06-06 00:00:00,5.084,5.417,5.082,5.369,736175.594975
2022-06-07 00:00:00,5.371,5.419,4.933,5.211,1250767.148691
2022-06-08 00:00:00,5.213,5.323,5.027,5.08,1201598.6229
2022-06-09 00:00:00,5.079,5.352,5.023,5.199,632911.804694
2022-06-10 00:00:00,5.194,5.225,4.758,4.808,920531.800287
2022-06-11 00:00:00,4.813,4.961,4.327,4.385,1330789.589349
2022-06-12 00:00:00,4.384,4.47,4.045,4.054,1249243.154262
2022-06-13 00:00:00,4.053,4.128,3.443,3.662,3814149.303933
2022-06-14 00:00:00,3.662,3.926,3.353,3.857,1926702.011876
2022-06-15 00:00:00,3.861,4.432,3.38,4.415,2056527.295084
2022-06-16 00:00:00,4.419,4.461,3.748,3.829,1824314.035983
2022-06-17 00:00:00,3.831,4.005,3.789,3.931,900786.129858
2022-06-18 00:00:00,3.932,4.082,3.324,3.637,1865297.270506
2022-06-19 00:00:00,3.637,4.263,3.489,4.184,1433367.741494
2022-06-20 00:00:00,4.19,4.387,3.979,4.3,1342580.105703
2022-06-21 00:00:00,4.299,5.209,4.218,4.773,1925028.010348
2022-06-22 00:00:00,4.773,5.356,4.564,4.977,2716577.995499
2022-06-23 00:00:00,4.98,5.655,4.952,5.617,1304548.456528
2022-06-24 00:00:00,5.62,5.792,5.352,5.467,1179233.033871
2022-06-25 00:00:00,5.467,5.763,5.24,5.612,538408.97095
2022-06-26 00:00:00,5.617,6.077,5.465,5.592,710283.9494
2022-06-27 00:00:00,5.59,5.927,5.263,5.33,914118.226352
2022-06-28 00:00:00,5.334,5.481,4.849,4.917,941882.229273
2022-06-29 00:00:00,4.91,5.259,4.773,5.11,1107876.935193
2022-06-30 00:00:00,5.11,5.137,4.591,5.002,1063455.279918
2022-07-01 00:00:00,5.003,5.127,4.739,4.855,722415.078865
2022-07-02 00:00:00,4.857,5.075,4.715,4.91,593432.85709
2022-07-03 00:00:00,4.909,4.945,4.716,4.912,303234.755327
2022-07-04 00:00:00,4.912,5.348,4.723,5.345,591452.608197
2022-07-05 00:00:00,5.34,5.44,5.004,5.295,620690.720339
2022-07-06 00:00:00,5.297,5.493,5.185,5.348,744291.521454
2022-07-07 00:00:00,5.343,5.829,5.283,5.728,957397.178255
2022-07-08 00:00:00,5.729,5.963,5.519,5.791,768165.910846
2022-07-09 00:00:00,5.791,6.62,5.791,6.448,1051441.556973
2022-07-10 00:00:00,6.448,6.472,5.98,6.234,669871.236206
2022-07-11 00:00:00,6.237,6.261,5.231,5.561,1958808.704297
2022-07-12 00:00:00,5.56,5.877,5.442,5.528,1315517.511796
2022-07-13 00:00:00,5.531,6.238,5.234,6.118,1626269.523354
2022-07-14 00:00:00,6.114,7.107,6.024,7.013,3446856.544488
2022-07-15 00:00:00,7.014,7.252,6.721,6.781,1456817.694118
2022-07-16 00:00:00,6.78,7.697,6.67,7.375,1345646.967661
2022-07-17 00:00:00,7.371,7.47,6.867,6.946,828723.842431
2022-07-18 00:00:00,6.955,7.456,6.929,7.327,1127905.406564
2022-07-19 00:00:00,7.334,7.746,7.21,7.347,1645849.936299
2022-07-20 00:00:00,7.347,7.61,6.788,6.859,1269463.314516
2022-07-21 00:00:00,6.863,7.293,6.669,7.222,1132628.214411
